model,mean_r2,mean_ablation_cost_high_si,log_ablation_cost_high_si,theory8_report_path,r2_source_path,n_sequences_ablation
olmo-2-7b,0.057640241185075464,0.05761317163705826,-2.85400406316778,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory8_position_ablation/olmo-2-7b/report.json,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/olmo-2-7b/head_r2_summary.parquet,
mistral-7b-v0.1,0.2657672483381823,3.4294211864471436,1.2323914966309581,/jumbo/lisp/f004ndc/Kernel PE/results/reinforce_exp/exp_r3_core_replication/mistral-7b-v0.1/theory8_position_ablation/mistral-7b-v0.1/report.json,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/mistral-7b-v0.1/head_r2_summary.parquet,
llama-3.1-8b,0.38032241997453253,4.154580593109131,1.4242114829259869,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory8_position_ablation/llama-3.1-8b/report.json,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/llama-3.1-8b/head_r2_summary.parquet,
